datetime,flag,sensor_id,val
2008-01-11 06:01:40.434972,0,M034,1
2008-01-11 06:01:40.770873,0,M035,1
2008-01-11 06:01:42.302436,0,M035,0
2008-01-11 06:01:42.855271,0,M034,0
2008-01-11 06:01:45.377568,0,M035,1
2008-01-11 06:01:45.977405,0,M034,1
2008-01-11 06:01:46.393291,0,M035,0
2008-01-11 06:01:46.977122,0,M035,1
2008-01-11 06:01:52.671679,0,M035,0
2008-01-11 06:01:52.796683,0,M034,0
2008-01-11 06:03:57.124503,0,T001,19
2008-01-11 06:03:57.124503,0,T003,19
2008-01-11 06:06:40.227447,0,M034,1
2008-01-11 06:06:41.270158,0,M034,0
2008-01-11 06:07:07.554264,0,M034,1
2008-01-11 06:07:08.506004,0,M035,1
2008-01-11 06:07:17.295531,0,M034,0
2008-01-11 06:07:18.543178,0,M035,0
2008-01-11 06:07:43.835736,0,M034,1
2008-01-11 06:07:47.181978,0,M034,0
2008-01-11 06:08:03.359482,0,T001,20
2008-01-11 06:08:03.359482,0,T002,19
2008-01-11 06:08:03.359482,0,T003,18.5
2008-01-11 06:12:07.485881,0,T001,21
2008-01-11 06:12:07.485881,0,T002,19.5
2008-01-11 06:12:07.491847,0,AC01,1
2008-01-11 06:16:12.846598,0,T001,20
2008-01-11 06:16:12.846598,0,T003,19
2008-01-11 06:16:12.853093,0,AC01,0
2008-01-11 06:20:16.791236,0,T001,19.5
2008-01-11 06:20:16.791236,0,T002,19
2008-01-11 06:24:21.707318,0,T001,19
2008-01-11 06:24:21.707318,0,T003,18.5
2008-01-11 06:28:26.732709,0,T002,18.5
2008-01-11 06:32:31.024219,0,T001,20.5
2008-01-11 06:32:31.024219,0,T002,19
2008-01-11 06:36:11.999206,0,M034,1
2008-01-11 06:36:13.154991,0,M035,1
2008-01-11 06:36:14.001896,0,M034,0
2008-01-11 06:36:14.526853,0,M034,1
2008-01-11 06:36:14.974833,0,M035,0
2008-01-11 06:36:15.589782,0,M035,1
2008-01-11 06:36:16.289723,0,M034,0
2008-01-11 06:36:16.402742,0,M034,1
2008-01-11 06:36:23.928129,0,M035,0
2008-01-11 06:36:25.050424,0,M034,0
2008-01-11 06:36:30.093534,0,M035,1
2008-01-11 06:36:30.776363,0,M034,1
2008-01-11 06:36:31.984083,0,M035,0
2008-01-11 06:36:32.839908,0,M034,0
2008-01-11 06:36:37.307633,0,T001,21.5
2008-01-11 06:36:37.307633,0,T002,20
2008-01-11 06:36:37.313281,0,AC01,1
2008-01-11 06:38:13.505412,0,M034,1
2008-01-11 06:38:15.640898,0,M035,1
2008-01-11 06:38:15.856893,0,M034,0
2008-01-11 06:38:16.197897,0,M034,1
2008-01-11 06:38:20.363274,0,M035,0
2008-01-11 06:38:20.684311,0,M035,1
2008-01-11 06:38:22.042146,0,M034,0
2008-01-11 06:38:24.541023,0,M035,0
2008-01-11 06:38:25.445765,0,M035,1
2008-01-11 06:38:27.068302,0,M034,1
2008-01-11 06:38:28.820873,0,M034,0
2008-01-11 06:38:31.110662,0,M035,0
2008-01-11 06:40:43.571989,0,T001,21
2008-01-11 06:44:47.917408,0,T001,20
2008-01-11 06:44:47.917408,0,T002,19.5
2008-01-11 06:44:47.925105,0,AC01,0
2008-01-11 06:48:53.116726,0,T001,19.5
2008-01-11 06:48:53.116726,0,T002,19
2008-01-11 06:50:17.762064,0,M035,1
2008-01-11 06:50:19.433579,0,M035,0
2008-01-11 06:50:47.076498,0,M035,1
2008-01-11 06:50:48.440599,0,M034,1
2008-01-11 06:50:48.709624,0,M035,0
2008-01-11 06:50:50.067471,0,M034,0
2008-01-11 06:50:50.382742,0,M035,1
2008-01-11 06:50:52.474282,0,M034,1
2008-01-11 06:50:59.699885,0,M035,0
2008-01-11 06:50:59.857868,0,M034,0
2008-01-11 06:52:58.333265,0,T001,20.5
2008-01-11 06:54:14.981922,0,M034,1
2008-01-11 06:54:17.385257,0,M034,0
2008-01-11 06:56:13.582574,0,M034,1
2008-01-11 06:56:15.241194,0,M034,0
2008-01-11 06:57:03.635041,0,T002,19.5
2008-01-11 07:01:07.979736,0,T001,20
2008-01-11 07:01:07.979736,0,T002,19
2008-01-11 07:05:12.376138,0,T001,19.5
2008-01-11 07:12:00.668388,0,M034,1
2008-01-11 07:12:02.635847,0,M034,0
2008-01-11 07:12:03.000738,0,M034,1
2008-01-11 07:12:04.803235,0,M034,0
2008-01-11 07:12:05.264106,0,M035,1
2008-01-11 07:12:09.586072,0,M034,1
2008-01-11 07:12:11.513562,0,M034,0
2008-01-11 07:12:16.008585,0,M034,1
2008-01-11 07:12:20.133993,0,M034,0
2008-01-11 07:12:20.568002,0,M034,1
2008-01-11 07:12:20.696061,0,M035,0
2008-01-11 07:12:22.636069,0,M034,0
2008-01-11 07:13:22.999944,0,T001,20.5
2008-01-11 07:13:22.999944,0,T002,19.5
2008-01-11 07:17:27.800596,0,T001,21
2008-01-11 07:17:27.806947,0,AC01,1
2008-01-11 07:21:32.489446,0,T001,20
2008-01-11 07:21:32.495475,0,AC01,0
2008-01-11 07:25:36.641657,0,T001,19.5
2008-01-11 07:25:36.641657,0,T002,19
2008-01-11 07:29:41.682611,0,T002,18.5
2008-01-11 07:33:45.651174,0,T001,21
2008-01-11 07:33:45.651174,0,T002,19.5
2008-01-11 07:33:45.657098,0,AC01,1
2008-01-11 07:37:50.745122,0,T001,21.5
2008-01-11 07:37:50.745122,0,T002,20
2008-01-11 07:38:26.987017,0,M035,1
2008-01-11 07:38:32.602576,0,M035,0
2008-01-11 07:38:33.205521,0,M035,1
2008-01-11 07:38:35.052233,0,M034,1
2008-01-11 07:38:43.408738,0,M034,0
2008-01-11 07:38:43.879775,0,M035,0
2008-01-11 07:38:45.723943,0,M034,1
2008-01-11 07:38:47.765135,0,M034,0
2008-01-11 07:40:45.200079,0,M035,1
2008-01-11 07:40:46.330763,0,M034,1
2008-01-11 07:40:52.293811,0,M035,0
2008-01-11 07:40:52.407822,0,M035,1
2008-01-11 07:40:52.949663,0,M034,0
2008-01-11 07:40:53.039856,0,M035,0
2008-01-11 07:41:57.409632,0,T001,22
2008-01-11 07:41:57.409632,0,T002,20.5
2008-01-11 07:42:07.882872,0,M034,1
2008-01-11 07:42:08.906962,0,M035,1
2008-01-11 07:42:18.037793,0,M034,0
2008-01-11 07:42:23.864402,0,M034,1
2008-01-11 07:42:27.335434,0,M034,0
2008-01-11 07:42:32.973853,0,M035,0
2008-01-11 07:42:57.972769,0,M034,1
2008-01-11 07:42:58.308724,0,M035,1
2008-01-11 07:43:00.003742,0,M035,0
2008-01-11 07:43:00.534184,0,M034,0
2008-01-11 07:46:02.074143,0,T001,22.5
2008-01-11 07:50:02.427162,0,M035,1
2008-01-11 07:50:03.400231,0,M034,1
